origen,destino,nombre,longitud,velocidad_max,tipo_via,sentido_unico,vulnerabilidad
3952992275,4375900773,Jirón Morro Solar,85.08463655179396,40,tertiary,True,0.6
3952992276,4375900774,Avenida Panamericana Sur,245.085413527266,80,motorway,True,0.1
3952992276,3952992275,Calle sin nombre,96.41180276322908,40,motorway_link,True,0.8
3953009246,3953009249,Calle sin nombre,108.3021830008377,40,motorway_link,True,0.8
3953009246,4721301760,Avenida Panamericana Sur,658.3122922997863,50,motorway,True,0.1
3953009249,671080775,Jirón Morro Solar,14.82155955014476,40,tertiary,True,0.6
3953009253,1273960823,Avenida Coronel Reynaldo Vivanco,120.75284269861086,40,tertiary,True,0.6
3953009256,1273651168,Jirón Morro Solar,179.87691410060916,40,tertiary,True,0.6
3953009256,3953009357,Calle sin nombre,56.27297049968048,40,motorway_link,True,0.8
3953009357,3953009246,Avenida Panamericana Sur,265.286283239631,80,motorway,True,0.1
3953009358,3953009363,Calle sin nombre,166.9495220246993,40,motorway_link,True,0.8
3953009358,3953009357,Avenida Panamericana Sur,298.2551976712085,80,motorway,True,0.1
3953009363,671080783,Jirón Morro Solar,53.26146686683537,40,tertiary,True,0.6
3953009368,1840977048,Cristobal de Peralta Sur,110.22362167041996,40,tertiary,True,0.6
3953009371,316072368,Avenida Primavera,8.741597452061942,60,primary,True,0.2
3953009371,3080889821,Cristóbal de la Peralta Norte,235.4967397241784,40,tertiary,True,0.6
3953009380,419485143,Cristóbal de la Peralta Norte,272.20620072165406,40,tertiary,True,0.6
3953009380,419486136,Jirón Jerónimo de Aliaga Norte,174.61226240031405,40,residential,False,0.8
3953009380,3953009381,Calle sin nombre,29.321869544934778,40,motorway_link,True,0.8
3953009381,1623028404,Avenida Panamericana Sur,110.07273291451438,80,motorway,True,0.1
3953009385,3953009381,Avenida Panamericana Sur,102.57110253945967,80,motorway,True,0.1
3953009385,3953009389,Calle sin nombre,46.81182877393463,30,motorway_link,True,0.8
3953009389,3953009380,Cristóbal de la Peralta Norte,37.590338387098576,40,tertiary,True,0.6
3967025396,133933009,Calle General Silva,17.23635306153735,30,residential,True,0.8
3967025396,386837778,Avenida Ernesto Diez Canseco,88.77590585844419,40,tertiary,True,0.6
3968673127,108024265,Calle sin nombre,259.59101300137013,70,motorway_link,True,0.8
3968673127,262572362,Avenida Paseo de la República,92.67678190214112,50,primary,True,0.2
3974039004,391009559,Malecón Diez Canseco,229.40625185239,40,tertiary,True,0.6
3974039004,3952827980,Calle sin nombre,60.53004536746084,40,secondary_link,True,0.8
3975072361,386852152,Avenida Velasco Astete,72.34733893356885,60,secondary,True,0.4
3975072362,5490761296,Calle M. Ganoza,13.292922422259783,40,living_street,True,0.8
3975072362,1273690360,Avenida Los Precursores,229.78475381745093,50,tertiary,True,0.6
